year,State,pm25,stateLat,stateLong,fultonLat,fultonLong
2007,NY,0.005158758,43.299428,-74.217933,33.79,-84.47
2007,OH,0.109208205,40.417287,-82.907123,33.79,-84.47
2007,OK,0.006603331,35.007752,-97.092877,33.79,-84.47
2007,OR,0.000243716,43.804133,-120.554201,33.79,-84.47
2007,PA,0.095639552,41.203322,-77.194525,33.79,-84.47
2007,SC,0.126490439,33.836081,-81.163725,33.79,-84.47
2007,SD,0.000463647,43.969515,-99.901813,33.79,-84.47
2007,TN,0.084619707,35.517491,-86.580447,33.79,-84.47
2007,TX,0.030728513,31.968599,-99.901813,33.79,-84.47
2007,UT,0.000501315,39.32098,-111.093731,33.79,-84.47
2007,VA,0.035883991,37.431573,-78.656894,33.79,-84.47
2007,WA,0.0000207,47.751074,-120.740139,33.79,-84.47
2007,WI,0.007584183,43.78444,-88.787868,33.79,-84.47
2007,WV,0.048283494,38.597626,-80.454903,33.79,-84.47
2007,WY,0.002991261,43.075968,-107.290284,33.79,-84.47
2008,AL,0.155473014,32.318231,-86.902298,33.79,-84.47
2008,AR,0.009845884,35.20105,-91.831833,33.79,-84.47
2008,AZ,0.000884145,34.048928,-111.093731,33.79,-84.47
2008,CO,0.001930727,39.550051,-105.782067,33.79,-84.47
2008,CT,0.000104716,41.603221,-73.087749,33.79,-84.47
2008,DE,0.002005784,38.910832,-75.52767,33.79,-84.47
2008,FL,0.035830696,27.664827,-81.515754,33.79,-84.47
2008,GA,0.478649185,32.157435,-82.907123,33.79,-84.47
2008,IA,0.00939422,41.878003,-93.097702,33.79,-84.47
2008,IL,0.03174304,40.633125,-89.398528,33.79,-84.47
2008,IN,0.095455896,40.551217,-85.602364,33.79,-84.47
2008,KS,0.007831042,39.011902,-98.484246,33.79,-84.47
2008,KY,0.080170691,37.839333,-84.270018,33.79,-84.47
2008,LA,0.011154097,31.244823,-92.145024,33.79,-84.47
2008,MA,0.001262963,42.407211,-71.382437,33.79,-84.47
2008,MD,0.0225058,39.045755,-76.641271,33.79,-84.47
2008,MI,0.022927536,44.314844,-85.602364,33.79,-84.47
2008,MN,0.00517485,46.729553,-94.6859,33.79,-84.47
2008,MO,0.029533581,37.964253,-91.831833,33.79,-84.47
2008,MS,0.012821613,32.354668,-89.398528,33.79,-84.47
2008,MT,0.000729642,46.879682,-110.362566,33.79,-84.47
